Aaron a.a.ʁɔ̃ 
affaiblissement a.fe.blis.mɑ̃ 
affairiste a.fɛ.ʁist 
affamé a.fa.me 
affectation a.fɛk.ta.sjɔ̃ 
affecte a.fɛkt 
affecté a.fɛk.te 
affectée a.fɛk.te 
affectées a.fɛk.te 
affecter a.fɛk.te 
affectés a.fɛk.te 
affection a.fɛk.sjɔ̃ 
affectueusement a.fɛk.tɥøz.mɑ̃ 
affectueux a.fɛk.tɥø 
affermage a.fɛʁ.maʒ 
affermer a.fɛʁ.me 
affermir a.fɛʁ.miʁ 
affichage a.fi.ʃaʒ 
affichait a.fi.ʃɛ 
affiche a.fiʃ 
affiché a.fi.ʃe 
affichée a.fi.ʃe 
affichent a.fiʃ 
afficher a.fi.ʃe 
affiches a.fiʃ 
affichés a.fi.ʃe 
affiler a.fi.le 
affinité a.fi.ni.te 
affinités a.fi.ni.te 
affirmait a.fiʁ.mɛ 
affirmant a.fiʁ.mɑ̃ 
affirmatif a.fiʁ.ma.tif 
affirmation a.fiʁ.ma.sjɔ̃ 
affirmations a.fiʁ.ma.sjɔ̃ 
affirme a.fiʁm 
affirmé a.fiʁ.me 
affirmée a.fiʁ.me 
affirment a.fiʁm 
affirmer a.fiʁ.me 
affliction a.flik.sjɔ̃ 
affligé a.fli.ʒe 
affliger a.fli.ʒe 
affluence a.fly.ɑ̃s 
affluent a.fly.ɑ̃ 
affluer a.fly.e 
afflux a.fly 
affolement a.fɔl.mɑ̃ 
affourager a.fu.ʁa.ʒe 
affranchir a.fʁɑ̃.ʃiʁ 
affrété a.fʁe.te 
affréteur a.fʁe.tœʁ 
affreux a.fʁø 
affront a.fʁɔ̃ 
affronte a.fʁɔ̃t 
affrontement a.fʁɔ̃t.mɑ̃ 
affrontements a.fʁɔ̃t.mɑ̃ 
affronter a.fʁɔ̃.te 
affût a.fy 
affûtage a.fy.taʒ 
affûter a.fy.te 
afghan af.ɡɑ̃ 
Afghan af.ɡɑ̃ 
afghane af.ɡɑ̃ 
Afghane af.ɡɑ̃ 
Afghanistan af.ɡa.ni.stɑ̃ 
afghans af.ɡɑ̃ 
Afghans af.ɡɑ̃ 
afin a.fɛ̃ 
africain a.fʁi.kɛ̃ 
africaine a.fʁi.kɛn 
africaines a.fʁi.kɛ̃ 
africains a.fʁi.kɛ̃ 
Afrique a.fʁik 
agacement a.ɡas.mɑ̃ 
agacer d 
Agathe a.ɡat 
âge ɑʒ 
âgé ɑ.ʒe 
âgée a.ʒe 
âgées ɑ.ʒe 
Agen a.ʒɛ̃ 
agence a.ʒɑ̃s 
agencement a.ʒɑ̃s.mɑ̃ 
agencer a.ʒɑ̃.se 
agences a.ʒɑ̃s 
agenda a.ʒɛ̃.da 
agent a.ʒɑ̃ 
agents a.ʒɑ̃ 
âges ɑʒ 
âgés a.ʒe 
agglomérat a.ɡlɔ.me.ʁa 
agglomération a.ɡlɔ.me.ʁa.sjɔ̃ 
agglomérations a.ɡlɔ.me.ʁa.sjɔ̃ 
aggravation a.ɡʁa.va.sjɔ̃ 
aggravé a.ɡʁa.ve 
aggravée a.ɡʁa.ve 
aggraver a.ɡʁa.ve 
agi a.ʒi 
agile a.ʒil 
agilité a.ʒi.li.te 
agir a.ʒiʁ 
agir a.ʒiʁ 
en ɑ̃ 
maître mɛtʁ 
agissant a.ʒi.sɑ̃ 
agissement a.ʒis.mɑ̃ 
agissements a.ʒis.mɑ̃ 
agissent a.ʒis 
agit a.ʒi 
agitation a.ʒi.ta.sjɔ̃ 
agite a.ʒit 
agité a.ʒi.te 
agitée a.ʒi.te 
agitent a.ʒit 
agiter a.ʒi.te 
agneau a.ɲo 
agneler a.ɲə.le 
Agnès a.ɲɛs 
agnosticisme a.ɡnɔ.sti.sism 
agnostique a.ɡnɔs.tik 
agnus ˈaŋ.nus 
dei dei 
agonie a.ɡɔ.ni 
agoniser a.ɡɔ.ni.ze 
agrafe a.ɡʁaf 
agraire a.ɡʁɛʁ 
agrandi a.ɡʁɑ̃.di 
agrandir a.ɡʁɑ̃.diʁ 
agrandissement a.ɡʁɑ̃.dis.mɑ̃ 
agrarien a.ɡʁa.ʁjɛ̃ 
agréable a.ɡʁe.abl 
agréablement a.ɡʁe.a.blǝ.mɑ̃ 
agréer a.ɡʁe.e 
agrégat a.ɡʁe.ɡa 
agrégation a.ɡʁe.ɡa.sjɔ̃ 
agrément a.ɡʁe.mɑ̃ 
agrémenter a.ɡʁe.mɑ̃.te 
agresseur a.ɡʁɛ.sœʁ 
agressif a.ɡʁɛ.sif 
agression a.ɡʁe.sjɔ̃ 
agressions a.ɡʁe.sjɔ̃ 
agressive a.ɡʁɛ.siv 
agressivement a.ɡʁe.siv.mɑ̃ 
agressivité a.ɡʁɛ.si.vi.te 
agricole a.ɡʁi.kɔl 
agricoles a.ɡʁi.kɔl 
agriculteur a.ɡʁi.kyl.tœʁ 
agriculteurs a.ɡʁi.kyl.tœʁ 
agriculture a.ɡʁi.kyl.tyʁ 
agripper a.ɡʁi.pe 
agroalimentaire a.ɡʁo.a.li.mɑ̃.tɛʁ 
agroalimentaires a.ɡʁo.a.li.mɛ̃.tɛʁ 
agronome a.ɡʁɔ.nɔm 
agronomie a.ɡʁo.nɔ.mi 
agronomique a.ɡʁɔ.nɔ.mik 
aguerri a.ɡɛ.ʁi 
aguerrir a.ɡɛ.ʁiʁ 
ah aː 
Ahmed a.mɛd 
ai e 
aidant ɛ.dɑ̃ 
aide ɛd 
aidé ɛ.de 
aide ɛd 
de dy 
camp kɑ̃ 
aident ɛd 
aider ɛ.de 
aides ɛd 
aidés ɛ.de 
aide-soignant ɛd.swa.ɲɑ̃ 
aïe aj 
aient ɛ 
aigle ɛɡl 
aigre ɛɡʁ 
aigrefin ɛ.ɡʁǝ.fɛ̃ 
aigreur ɛ.ɡʁœʁ 
aigreurs ɛ.ɡʁœʁ 
aigri ɛ.ɡʁi 
aigu e.ɡy 
aiguë e.ɡy 
aiguille e.ɡɥij 
aiguillette e.ɡɥi.jɛt 
aiguillon e.ɡɥi.jɔ̃ 
aiguillonner e.ɡɥi.jɔ.ne 
aiguisage ɛ.gi.zaʒ 
aiguisé ɛ.ɡi.ze 
aiguiser ɛ.ɡi.ze 
ail aj 
aile ɛl 
aileron ɛl.ʁɔ̃ 
ailerons ɛl.ʁɔ̃ 
ailes ɛl 
ailette ɛ.lɛt 
aille aj 
ailleurs a.jœʁ 
aimable ɛ.mabl 
aimait ɛ.mɛ 
aimant ɛ.mɑ̃ 
aimanté ɛ.mɑ̃.te 
aime ɛm 
aimé ɛ.me 
aimée ɛ.me 
aiment ɛm 
aimer ɛ.me 
aimeraient ɛ.mə.ʁɛ 
aimerait ɛ.mə.ʁɛ 
Ain ɛ̃ 
aîné e.ne 
aînée e.ne 
aînés e.ne 
ainsi ɛ̃.si 
air ɛʁ 
airains ɛ.ʁɛ̃ 
aire ɛʁ 
aires ɛʁ 
airs ɛʁ 
ais ɛ 
aisance ɛ.zɑ̃s 
aise ɛz 
aisé ɛ.ze 
aisée e.ze 
aisément ɛ.ze.mɑ̃ 
aisés e.ze 
Aisne ɛn 
aisselle ɛ.sɛl 
ait ɛ 
Aix ɛks 
Ajaccio a.ʒak.sjo 
Ajax a.ʒaks 
ajourner a.ʒuʁ.ne 
ajout a.ʒu 
ajoutait a.ʒu.tɛ 
ajoutant a.ʒu.tɑ̃ 
ajoute a.ʒut 
ajouté a.ʒu.te 
ajoutée a.ʒu.te 
ajoutent a.ʒut 
ajouter a.ʒu.te 
ajoutons a.ʒu.tɔ̃ 
ajustement a.ʒus.tə.mɑ̃ 
ajustements a.ʒys.tə.mɑ̃ 
ajuster a.ʒys.te 
al a.ne ly.mjɛʁ 
Alain a.lɛ̃ 
alambiqué a.lɑ̃.bi.ke 
alarmant a.laʁ.mɑ̃ 
alarme a.laʁm 
alarmer a.laʁ.me 
albanais al.ba.nɛ 
Albanais al.ba.nɛ 
albanaise al.ba.nɛ 
Albanaise al.ba.nɛ 
Albanie al.ba.ni 
albâtre al.bɑtʁ 
albatros al.ba.tʁos 
Albert al.bɛʁ 
albertain al.bɛʁ.tɛ̃ 
Albin al.bɛ̃ 
albinos al.bi.nos 
album al.bɔm 
albumine al.by.min 
albums al.bɔm 
alcali al.ka.li 
alcaloïde al.ka.lɔ.id 
alchimique al.ʃi.mik 
alcool al.kɔl 
alcoolique al.kɔ.lik 
alcoolisé al.kɔ.li.ze 
alcoolisme al.kɔ.lism 
alcoolo al.ko.lo 
aléas a.le.a 
aléatoire a.le.a.twaʁ 
alêne a.lɛn 
alentour a.lɑ̃.tuʁ 
alentours a.lɑ̃.tuʁ 
alerte a.lɛʁt 
alerté a.lɛʁ.te 
alertement a.lɛʁ.tə.mɑ̃ 
alerter a.lɛʁ.te 
Alexandra a.lɛk.sɑ̃.dʁa 
Alexandre a.lɛk.sɑ̃dʁ 
alexie a.lɛk.si 
Alfred al.fʁɛd 
algèbre al.ʒɛbʁ 
algébrique al.ʒe.bʁik 
Alger al.ʒe 
Algérie al.ʒe.ʁi 
algérien al.ʒe.ʁjɛ̃ 
Algérien al.ʒe.ʁjɛ̃ 
algérienne al.ʒe.ʁjɛ̃ 
Algérienne al.ʒe.ʁjɛ̃ 
algériens al.ʒe.ʁjɛ̃ 
Algériens al.ʒe.ʁjɛ̃ 
algorithme al.ɡo.ʁitm 
algue alɡ 
alias a.ljas 
alibi a.li.bi 
Alice a.lis 
aliénation a.lje.na.sjɔ̃ 
aliéné a.lje.ne 
aliéniste a.lje.nist 
aligné a.li.ɲe 
alignement a.li.ɲə.mɑ̃ 
aligner a.li.ɲe 
alignés a.li.ɲe 
alimentaire a.li.mɑ̃.tɛʁ 
alimentaires a.li.mɑ̃.tɛʁ 
alimentation a.li.mɑ̃.ta.sjɔ̃ 
alimente a.li.mɑ̃t 
alimenté a.li.mɑ̃.te 
alimentent a.li.mɑ̃t 
alimenter a.li.mɑ̃.te 
aliments a.li.mɑ̃ 
alinéa a.li.ne.a 
alité a.li.te 
Allah al.la 
allaient a.lɛ 
allais a.lɛ 
allait a.lɛ 
allaiter a.lɛ.te 
Allan ˈæl.ən 
allant a.lɑ̃ 
allé a.le 
alléchant a.le.ʃɑ̃ 
allécher a.le.ʃe 
allée a.le 
allées a.le 
allégation a.le.ɡa.sjɔ̃ 
allégé a.le.ʒe 
allégée a.le.ʒe 
allégement a.lɛʒ.mɑ̃ 
alléger a.(l)le.ʒe 
allégorie a.le.ɡɔ.ʁi 
allégorique a.le.gɔ.ʁik 
allégoriquement a.le.ɡɔ.ʁik.mɑ̃ 
allègre a.(l)lɛɡʁ 
allègrement a.lɛ.ɡʁǝ.mɑ̃ 
allégresse a.le.ɡʁɛs 
allegretto a.le.gʁe.tɔ 
allegro a.le.gro 
alléguer a.le.ɡe 
alléluia a.le.lu.ja 
Allemagne al.maɲ 
Allemagnes al.maɲ 
allemand al.mɑ̃ 
allemande al.mɑ̃d 
allemandes al.mɑ̃ 
allemands al.mɑ̃ 
Allen ˈæl.ən 
aller a.le 
allés a.le 
allez a.le 
alliage a.ljaʒ 
alliance a.ljɑ̃s 
alliances a.ljɑ̃s 
allié a.lje 
alliée a.lje 
allier a.lje 
alliés a.lje 
alligator a.li.ɡa.tɔʁ 
allitération a.li.te.ʁa.sjɔ̃ 
allô a.lo 
allocation a.lɔ.ka.sjɔ̃ 
allocations a.lɔ.ka.sjɔ̃ 
allocution a.lɔ.ky.sjɔ̃ 
allonge a.lɔ̃ʒ 
allongé a.lɔ̃.ʒe 
allongement a.lɔ̃ʒ.mɑ̃ 
allonger a.lɔ̃.ʒe 
allons a.lɔ̃ 
